id,group_name,addr_pool
1,"w6中国电信","2001:c68::/32,2400:9380::/32,2402:8800::/32,240e::/21,240e:800::/24,240e:900::/27,240e:920::/28,240e:930::/29,240e:938::/30,240e:93c::/32,240e:93d::/36,240e:93d:1001::/48,240e:93d:1002::/47,240e:93d:1004::/46,240e:93d:1008::/45,240e:93d:1010::/44,240e:93d:1020::/43,240e:93d:1040::/42,240e:93d:1080::/41,240e:93d:1100::/40,240e:93d:1200::/39,240e:93d:1400::/38,240e:93d:1800::/37,240e:93d:2000::/35,240e:93d:4000::/34,240e:93d:8000::/33,240e:93e::/31,240e:940::/26,240e:980::/25,240e:a00::/23,240e:c00::/22,240e:1000::/20,240e:2000::/19,2605:9d80::/32,2804:1e48::/32,2a04:f580::/29,2c0f:f7a8::/29"
2,"w6中国联通","2001:e18::/32,2001:e88::/32,2401:8a00::/32,2408:8000::/20"
3,"w6中国移动","2001:e08::/32,2001:e80::/32,2401:3000::/32,2402:4f00::/32,2409:8000::/25,2409:8080::/29,2409:8088::/32,2409:808a::/31,2409:808c::/30,2409:8090::/28,2409:80a0::/27,2409:80c0::/26,2409:8100::/24,2409:8200::/23,2409:8400::/22,2409:8800::/21,240a:8000::/21"
4,"w6中国鹏博士","2403:7d80::/32,2403:7f80::/32,2403:8080::/32,2403:8180::/32,2403:8280::/32,2403:8380::/32,2403:8480::/32,2403:8580::/32,2403:8980::/32,2403:8c80::/32,2403:8d80::/32,2403:9080::/32,2403:9180::/32,2403:9280::/32,2403:9380::/32,2403:9480::/32,2403:9580::/32,2403:9680::/32,2403:9780::/32,2403:9880::/32,2403:9a80::/32,2403:9b80::/32,2403:9c80::/32,2403:9d80::/32,2403:9e80::/32,2403:a480::/32,2403:a580::/32,2403:a680::/32,2403:a780::/32,2403:a980::/32,2403:aa80::/32,2403:ab80::/32,2403:b980::/32,2403:cf80::/32,2403:d280::/32,2403:d380::/32,2403:d480::/32,2403:d980::/32,2403:da80::/32,2403:db80::/32,2403:dc80::/32,2403:dd80::/32,2403:de80::/32,2403:df80::/32,2403:e080::/32,2403:e180::/32,2403:e280::/32,2403:e480::/32,2403:e580::/32,2403:e680::/32,2403:e780::/32,2403:e880::/32,2403:e980::/32,2403:ea80::/32,2403:eb80::/32,2403:ec80::/32,2403:ed80::/32,2403:ee80::/32,2403:ef80::/32,2403:f080::/32,2403:f180::/32,2403:f280::/32,2403:f380::/32,2403:f800::/32,2403:fe80::/32,2403:ff80::/32,2404:1cc0::/32,2407:d780::/32,2407:d880::/32,2407:d980::/32,2407:da80::/32,2407:de80::/32,2407:df80::/32,2407:e080::/32,2407:e180::/32,2407:e280::/32,2407:e380::/32,2407:e480::/32,2407:e580::/32,2407:e680::/32,2407:e780::/32,2407:ed80::/32,2407:ee80::/32,2407:f080::/32,2407:f180::/32,2407:f280::/32,2407:f380::/32,2407:f480::/32,2407:f580::/32,2407:f680::/32,2407:f780::/32,2407:f880::/32,2407:f980::/32,2407:fa80::/32,2407:fb80::/32,2407:fc80::/32,2407:fd80::/32"
5,"w6安徽电信","240e:6::/32,240e:21:8000::/34,240e:29:8000::/34,240e:46::/32,240e:68:c000::/35,240e:98::/30,240e:105:8000::/34,240e:108:87::/48,240e:108:1150::/48,240e:145:8000::/34,240e:185:8000::/34,240e:1c5:8000::/34,240e:258::/30,240e:360::/29,240e:458::/30,240e:558::/30,240e:660::/29,240e:760::/29,240e:858::/30,240e:958::/30,240e:980:8700::/40,240e:982:5000::/40,240e:a58::/30,240e:b60::/29"
6,"w6澳门电信","2400:9380:90c0::/44"
7,"w6北京电信","240e:0:8000::/33,240e:20:2000::/35,240e:28:2000::/35,240e:40:14::/48,240e:40:8000::/33,240e:68::/36,240e:82::/31,240e:100:4000::/34,240e:108::/44,240e:108:20::/48,240e:108:40::/48,240e:108:49::/48,240e:108:80::/48,240e:108:1000::/44,240e:109:8000::/44,240e:140:4000::/34,240e:180:4000::/34,240e:1c0:4000::/34,240e:204::/30,240e:304::/30,240e:404::/30,240e:504::/30,240e:604::/30,240e:698::/36,240e:704::/30,240e:804::/30,240e:904::/30,240e:980::/36,240e:980:2000::/40,240e:980:4000::/40,240e:980:4900::/40,240e:980:8000::/40,240e:981::/36,240e:a04::/30,240e:b04::/30"
8,"w6福建电信","240e:14::/31,240e:25::/33,240e:2d::/33,240e:54::/31,240e:6a:8000::/34,240e:d0::/29,240e:106:4000::/34,240e:108:27::/48,240e:108:28::/48,240e:108:4b::/48,240e:108:85::/48,240e:108:1180::/46,240e:109:8027::/48,240e:109:8028::/48,240e:109:804b::/48,240e:146:4000::/34,240e:186:4000::/34,240e:1c6:4000::/34,240e:264::/30,240e:378::/29,240e:464::/30,240e:564::/30,240e:678::/29,240e:698:2700::/40,240e:698:2800::/40,240e:698:4b00::/40,240e:778::/29,240e:864::/30,240e:964::/30,240e:980:2700::/40,240e:980:2800::/40,240e:980:4b00::/40,240e:980:8500::/40,240e:982:8000::/38,240e:a64::/30,240e:b78::/29"
9,"w6甘肃电信","240e:8::/32,240e:22::/34,240e:2a::/34,240e:48::/32,240e:69::/35,240e:a0::/30,240e:103:4000::/34,240e:108:92::/48,240e:143:4000::/34,240e:183:4000::/34,240e:1c3:4000::/34,240e:234::/30,240e:334::/30,240e:434::/30,240e:534::/30,240e:634::/30,240e:734::/30,240e:834::/30,240e:934::/30,240e:980:9200::/40,240e:a34::/30,240e:b34::/30"
10,"w6广东电信","240e:1e::/31,240e:27:8000::/33,240e:2f:8000::/33,240e:5e::/31,240e:61::/32,240e:62::/31,240e:64::/32,240e:6b:c000::/34,240e:f8::/29,240e:107:c000::/34,240e:108:22::/48,240e:108:2c::/48,240e:108:42::/48,240e:108:99::/48,240e:108:9a::/48,240e:108:11e0::/46,240e:109:8022::/48,240e:109:8042::/48,240e:147:c000::/34,240e:187:c000::/34,240e:1c7:c000::/34,240e:27c::/30,240e:3b0::/28,240e:47c::/30,240e:57c::/30,240e:698:2200::/40,240e:698:4200::/40,240e:6b0::/28,240e:7b0::/28,240e:87c::/30,240e:97c::/30,240e:980:2200::/40,240e:980:2c00::/40,240e:980:4200::/40,240e:980:9900::/40,240e:980:9a00::/40,240e:982:e000::/38,240e:983:1e00::/44,240e:a7c::/30,240e:bb0::/28"
